object_id,galaxy_class,bar_class,edge_on_class,image_local_path
-656350309469895149,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022483_NEG656350309469895149_gz_arcsinh_vis_y.jpg
-536434367260567476,E,No Bar,Not Edge-On,./Galaxy_cutouts/102046762_NEG536434367260567476_gz_arcsinh_vis_y.jpg
2687877714665663920,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159486_2687877714665663920_gz_arcsinh_vis_y.jpg
-511195135269488568,E,No Bar,Edge-On,./Galaxy_cutouts/102045463_NEG511195135269488568_gz_arcsinh_vis_y.jpg
2672008124679790998,E,No Bar,Edge-On,./Galaxy_cutouts/102160335_2672008124679790998_gz_arcsinh_vis_y.jpg
2669315355661357274,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159189_2669315355661357274_gz_arcsinh_vis_y.jpg
-539338012266884917,E,No Bar,Not Edge-On,./Galaxy_cutouts/102046114_NEG539338012266884917_gz_arcsinh_vis_y.jpg
-541108810271838189,E,No Bar,Edge-On,./Galaxy_cutouts/102045469_NEG541108810271838189_gz_arcsinh_vis_y.jpg
-567177944498351481,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019587_NEG567177944498351481_gz_arcsinh_vis_y.jpg
2686073872659468305,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159191_2686073872659468305_gz_arcsinh_vis_y.jpg
2673727824646399595,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158271_2673727824646399595_gz_arcsinh_vis_y.jpg
-513059110280729179,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044182_NEG513059110280729179_gz_arcsinh_vis_y.jpg
-576383853473673873,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021980_NEG576383853473673873_gz_arcsinh_vis_y.jpg
2690200296679643321,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160336_2690200296679643321_gz_arcsinh_vis_y.jpg
-605474829505336835,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019128_NEG605474829505336835_gz_arcsinh_vis_y.jpg
-535396462272739095,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044825_NEG535396462272739095_gz_arcsinh_vis_y.jpg
-586338184506376387,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019125_NEG586338184506376387_gz_arcsinh_vis_y.jpg
-660820880480860324,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021503_NEG660820880480860324_gz_arcsinh_vis_y.jpg
2765393460665593459,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159492_2765393460665593459_gz_arcsinh_vis_y.jpg
2727223808680278149,E,No Bar,Edge-On,./Galaxy_cutouts/102160339_2727223808680278149_gz_arcsinh_vis_y.jpg
2651890053663489386,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159483_2651890053663489386_gz_arcsinh_vis_y.jpg
-562813842485594543,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021007_NEG562813842485594543_gz_arcsinh_vis_y.jpg
2661697599677514788,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160334_2661697599677514788_gz_arcsinh_vis_y.jpg
2685260720650873837,E,No Bar,Edge-On,./Galaxy_cutouts/102158584_2685260720650873837_gz_arcsinh_vis_y.jpg
2742305074645383557,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158277_2742305074645383557_gz_arcsinh_vis_y.jpg
-632694569495999906,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020064_NEG632694569495999906_gz_arcsinh_vis_y.jpg
2661411525666148607,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159483_2661411525666148607_gz_arcsinh_vis_y.jpg
-523498340276301350,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044823_NEG523498340276301350_gz_arcsinh_vis_y.jpg
-608333195480898081,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021496_NEG608333195480898081_gz_arcsinh_vis_y.jpg
-573781580505003131,E,No Bar,Edge-On,./Galaxy_cutouts/102019124_NEG573781580505003131_gz_arcsinh_vis_y.jpg
2743479160670183803,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159779_2743479160670183803_gz_arcsinh_vis_y.jpg
2743504023668091729,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159779_2743504023668091729_gz_arcsinh_vis_y.jpg
-649494561470517352,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022482_NEG649494561470517352_gz_arcsinh_vis_y.jpg
2745248654664458101,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159490_2745248654664458101_gz_arcsinh_vis_y.jpg
-650886466485035001,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021019_NEG650886466485035001_gz_arcsinh_vis_y.jpg
2674872744635348429,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157631_2674872744635348429_gz_arcsinh_vis_y.jpg
-628807641466070188,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022976_NEG628807641466070188_gz_arcsinh_vis_y.jpg
-626368036478623492,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021499_NEG626368036478623492_gz_arcsinh_vis_y.jpg
2671007640641848834,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157953_2671007640641848834_gz_arcsinh_vis_y.jpg
-524976816301992898,E,No Bar,Not Edge-On,./Galaxy_cutouts/102041656_NEG524976816301992898_gz_arcsinh_vis_y.jpg
2718873026659300128,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159193_2718873026659300128_gz_arcsinh_vis_y.jpg
2718353168651796033,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158587_2718353168651796033_gz_arcsinh_vis_y.jpg
2748454849666802201,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159491_2748454849666802201_gz_arcsinh_vis_y.jpg
2680547339656716266,E,No Bar,Edge-On,./Galaxy_cutouts/102158890_2680547339656716266_gz_arcsinh_vis_y.jpg
2649480930657645710,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159188_2649480930657645710_gz_arcsinh_vis_y.jpg
2712620074639027922,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157957_2712620074639027922_gz_arcsinh_vis_y.jpg
2725002562664097873,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159489_2725002562664097873_gz_arcsinh_vis_y.jpg
2697457116636864302,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157633_2697457116636864302_gz_arcsinh_vis_y.jpg
2660035941670665526,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159772_2660035941670665526_gz_arcsinh_vis_y.jpg
-648072768482438182,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021019_NEG648072768482438182_gz_arcsinh_vis_y.jpg
-518343654296246136,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042283_NEG518343654296246136_gz_arcsinh_vis_y.jpg
-619359910477120287,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021985_NEG619359910477120287_gz_arcsinh_vis_y.jpg
-530384950272042271,E,No Bar,Not Edge-On,./Galaxy_cutouts/102045467_NEG530384950272042271_gz_arcsinh_vis_y.jpg
-552206483283851384,E,No Bar,Not Edge-On,./Galaxy_cutouts/102043553_NEG552206483283851384_gz_arcsinh_vis_y.jpg
-621836721483114115,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021015_NEG621836721483114115_gz_arcsinh_vis_y.jpg
-622625503497420628,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020063_NEG622625503497420628_gz_arcsinh_vis_y.jpg
-658833346486537690,E,No Bar,Edge-On,./Galaxy_cutouts/102021020_NEG658833346486537690_gz_arcsinh_vis_y.jpg
2727290449641039770,E,No Bar,Edge-On,./Galaxy_cutouts/102157958_2727290449641039770_gz_arcsinh_vis_y.jpg
-603126383488289109,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020534_NEG603126383488289109_gz_arcsinh_vis_y.jpg
-539546384281241815,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044187_NEG539546384281241815_gz_arcsinh_vis_y.jpg
2666190770656526871,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158888_2666190770656526871_gz_arcsinh_vis_y.jpg
2704546109683807817,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160609_2704546109683807817_gz_arcsinh_vis_y.jpg
-595942145470281630,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022475_NEG595942145470281630_gz_arcsinh_vis_y.jpg
-611400383479451126,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021497_NEG611400383479451126_gz_arcsinh_vis_y.jpg
2700813307675236886,E,No Bar,Edge-On,./Galaxy_cutouts/102160059_2700813307675236886_gz_arcsinh_vis_y.jpg
-526237399288246900,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042914_NEG526237399288246900_gz_arcsinh_vis_y.jpg
2682068438669715612,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159774_2682068438669715612_gz_arcsinh_vis_y.jpg
-527995050293139358,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042284_NEG527995050293139358_gz_arcsinh_vis_y.jpg
-603338924507049048,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019128_NEG603338924507049048_gz_arcsinh_vis_y.jpg
2686120576633808469,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157632_2686120576633808469_gz_arcsinh_vis_y.jpg
-547791098284652515,E,No Bar,Not Edge-On,./Galaxy_cutouts/102043552_NEG547791098284652515_gz_arcsinh_vis_y.jpg
-571578078504023320,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019123_NEG571578078504023320_gz_arcsinh_vis_y.jpg
-531513409299240949,E,No Bar,Not Edge-On,./Galaxy_cutouts/102041658_NEG531513409299240949_gz_arcsinh_vis_y.jpg
-584599758500218416,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019589_NEG584599758500218416_gz_arcsinh_vis_y.jpg
-628623536469519728,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022480_NEG628623536469519728_gz_arcsinh_vis_y.jpg
-614284317486782557,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021014_NEG614284317486782557_gz_arcsinh_vis_y.jpg
-640641558456557952,E,No Bar,Not Edge-On,./Galaxy_cutouts/102023986_NEG640641558456557952_gz_arcsinh_vis_y.jpg
-535822438282695010,E,No Bar,Not Edge-On,./Galaxy_cutouts/102043550_NEG535822438282695010_gz_arcsinh_vis_y.jpg
2694718751638314001,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157955_2694718751638314001_gz_arcsinh_vis_y.jpg
-617938907462066881,E,No Bar,Not Edge-On,./Galaxy_cutouts/102023477_NEG617938907462066881_gz_arcsinh_vis_y.jpg
-642815312457512075,E,No Bar,Not Edge-On,./Galaxy_cutouts/102023480_NEG642815312457512075_gz_arcsinh_vis_y.jpg
-640528174489670691,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020539_NEG640528174489670691_gz_arcsinh_vis_y.jpg
-541322558291011588,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042917_NEG541322558291011588_gz_arcsinh_vis_y.jpg
-635459737456130089,E,No Bar,Edge-On,./Galaxy_cutouts/102023985_NEG635459737456130089_gz_arcsinh_vis_y.jpg
2675230027673604189,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160057_2675230027673604189_gz_arcsinh_vis_y.jpg
-599309530481070948,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021495_NEG599309530481070948_gz_arcsinh_vis_y.jpg
2654512423670010168,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159772_2654512423670010168_gz_arcsinh_vis_y.jpg
-610052044485783439,E,No Bar,Edge-On,./Galaxy_cutouts/102021014_NEG610052044485783439_gz_arcsinh_vis_y.jpg
-515784377289442778,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042913_NEG515784377289442778_gz_arcsinh_vis_y.jpg
-607307109510598314,E,No Bar,Not Edge-On,./Galaxy_cutouts/102018669_NEG607307109510598314_gz_arcsinh_vis_y.jpg
2734528296665480005,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159489_2734528296665480005_gz_arcsinh_vis_y.jpg
-631189050461935728,E,No Bar,Not Edge-On,./Galaxy_cutouts/102023478_NEG631189050461935728_gz_arcsinh_vis_y.jpg
-633627328465740193,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022977_NEG633627328465740193_gz_arcsinh_vis_y.jpg
2735217597677515863,E,No Bar,Edge-On,./Galaxy_cutouts/102160339_2735217597677515863_gz_arcsinh_vis_y.jpg
2686539847633877165,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157632_2686539847633877165_gz_arcsinh_vis_y.jpg
-614652909492852794,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020062_NEG614652909492852794_gz_arcsinh_vis_y.jpg
-620224666470023892,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022478_NEG620224666470023892_gz_arcsinh_vis_y.jpg
2657561086653408841,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158888_2657561086653408841_gz_arcsinh_vis_y.jpg
-618799161466100208,E,No Bar,Edge-On,./Galaxy_cutouts/102022975_NEG618799161466100208_gz_arcsinh_vis_y.jpg
-534417034297073990,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042285_NEG534417034297073990_gz_arcsinh_vis_y.jpg
-600362665478955246,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021495_NEG600362665478955246_gz_arcsinh_vis_y.jpg
-613784606486488204,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021014_NEG613784606486488204_gz_arcsinh_vis_y.jpg
-575336420489680805,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020530_NEG575336420489680805_gz_arcsinh_vis_y.jpg
-547523070282148443,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044188_NEG547523070282148443_gz_arcsinh_vis_y.jpg
-533322446295481291,E,No Bar,Edge-On,./Galaxy_cutouts/102042285_NEG533322446295481291_gz_arcsinh_vis_y.jpg
-650807327463766505,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022979_NEG650807327463766505_gz_arcsinh_vis_y.jpg
2669650339646567058,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158271_2669650339646567058_gz_arcsinh_vis_y.jpg
-591187203483352217,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021011_NEG591187203483352217_gz_arcsinh_vis_y.jpg
2665518871678377131,E,No Bar,Edge-On,./Galaxy_cutouts/102160334_2665518871678377131_gz_arcsinh_vis_y.jpg
2664601450659369162,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159189_2664601450659369162_gz_arcsinh_vis_y.jpg
-656101356472530085,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021990_NEG656101356472530085_gz_arcsinh_vis_y.jpg
-634527701474607959,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021988_NEG634527701474607959_gz_arcsinh_vis_y.jpg
-647537653481654539,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021501_NEG647537653481654539_gz_arcsinh_vis_y.jpg
-657509871467278328,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022980_NEG657509871467278328_gz_arcsinh_vis_y.jpg
-608658478503952416,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019128_NEG608658478503952416_gz_arcsinh_vis_y.jpg
-601783672507431023,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019127_NEG601783672507431023_gz_arcsinh_vis_y.jpg
-602990038474409406,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021983_NEG602990038474409406_gz_arcsinh_vis_y.jpg
-550923257285079527,E,No Bar,Edge-On,./Galaxy_cutouts/102043552_NEG550923257285079527_gz_arcsinh_vis_y.jpg
2692872291680524130,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160336_2692872291680524130_gz_arcsinh_vis_y.jpg
-548750628292314716,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042918_NEG548750628292314716_gz_arcsinh_vis_y.jpg
-599198416500749692,E,No Bar,Edge-On,./Galaxy_cutouts/102019591_NEG599198416500749692_gz_arcsinh_vis_y.jpg
2665851619661390842,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159189_2665851619661390842_gz_arcsinh_vis_y.jpg
-634551540490398634,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020538_NEG634551540490398634_gz_arcsinh_vis_y.jpg
-585163494505665341,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019125_NEG585163494505665341_gz_arcsinh_vis_y.jpg
-633045925453946751,E,No Bar,Not Edge-On,./Galaxy_cutouts/102023985_NEG633045925453946751_gz_arcsinh_vis_y.jpg
2694034129642411552,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157955_2694034129642411552_gz_arcsinh_vis_y.jpg
2645909432673725368,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160055_2645909432673725368_gz_arcsinh_vis_y.jpg
-646427496473110910,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021989_NEG646427496473110910_gz_arcsinh_vis_y.jpg
-611339137475977126,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021984_NEG611339137475977126_gz_arcsinh_vis_y.jpg
2762937170663648336,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159492_2762937170663648336_gz_arcsinh_vis_y.jpg
-646563043485486460,E,Bar,Edge-On,./Galaxy_cutouts/102021019_NEG646563043485486460_gz_arcsinh_vis_y.jpg
-588832540485235044,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021011_NEG588832540485235044_gz_arcsinh_vis_y.jpg
-544988252280333538,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044188_NEG544988252280333538_gz_arcsinh_vis_y.jpg
-585619400497163242,E,No Bar,Edge-On,./Galaxy_cutouts/102020058_NEG585619400497163242_gz_arcsinh_vis_y.jpg
-639431036473355245,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021988_NEG639431036473355245_gz_arcsinh_vis_y.jpg
-625117880479102994,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021498_NEG625117880479102994_gz_arcsinh_vis_y.jpg
-592597860507281058,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019126_NEG592597860507281058_gz_arcsinh_vis_y.jpg
-542621418290193364,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042917_NEG542621418290193364_gz_arcsinh_vis_y.jpg
-587475979491990487,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020532_NEG587475979491990487_gz_arcsinh_vis_y.jpg
-646398353469416098,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022482_NEG646398353469416098_gz_arcsinh_vis_y.jpg
2750954184672583335,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160063_2750954184672583335_gz_arcsinh_vis_y.jpg
-614916104504528356,E,No Bar,Edge-On,./Galaxy_cutouts/102019129_NEG614916104504528356_gz_arcsinh_vis_y.jpg
-516685066285527117,E,No Bar,Not Edge-On,./Galaxy_cutouts/102043546_NEG516685066285527117_gz_arcsinh_vis_y.jpg
2669196343640889247,E,No Bar,Not Edge-On,./Galaxy_cutouts/102157953_2669196343640889247_gz_arcsinh_vis_y.jpg
2673464240666938117,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159484_2673464240666938117_gz_arcsinh_vis_y.jpg
2749229492663797321,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159491_2749229492663797321_gz_arcsinh_vis_y.jpg
2643673664646378713,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158269_2643673664646378713_gz_arcsinh_vis_y.jpg
2706009079650266908,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158586_2706009079650266908_gz_arcsinh_vis_y.jpg
-587994138513474134,E,No Bar,Not Edge-On,./Galaxy_cutouts/102018212_NEG587994138513474134_gz_arcsinh_vis_y.jpg
-530396382273877013,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044825_NEG530396382273877013_gz_arcsinh_vis_y.jpg
-620366533498352389,E,Bar,Not Edge-On,./Galaxy_cutouts/102019594_NEG620366533498352389_gz_arcsinh_vis_y.jpg
-598353386488645879,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020533_NEG598353386488645879_gz_arcsinh_vis_y.jpg
2755743111671154983,E,No Bar,Edge-On,./Galaxy_cutouts/102159780_2755743111671154983_gz_arcsinh_vis_y.jpg
-627850675503194513,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019131_NEG627850675503194513_gz_arcsinh_vis_y.jpg
2687938287665677941,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159486_2687938287665677941_gz_arcsinh_vis_y.jpg
-523554414266337614,E,No Bar,Not Edge-On,./Galaxy_cutouts/102046111_NEG523554414266337614_gz_arcsinh_vis_y.jpg
-631254659487658771,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020538_NEG631254659487658771_gz_arcsinh_vis_y.jpg
2657630748660266317,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159188_2657630748660266317_gz_arcsinh_vis_y.jpg
-579594554484649216,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021010_NEG579594554484649216_gz_arcsinh_vis_y.jpg
-610171042486111242,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021014_NEG610171042486111242_gz_arcsinh_vis_y.jpg
2720302537664199225,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159488_2720302537664199225_gz_arcsinh_vis_y.jpg
-539878965292196411,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042917_NEG539878965292196411_gz_arcsinh_vis_y.jpg
2639604314649737681,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158580_2639604314649737681_gz_arcsinh_vis_y.jpg
-655856309490110659,E,No Bar,Edge-On,./Galaxy_cutouts/102020541_NEG655856309490110659_gz_arcsinh_vis_y.jpg
-603195907501116870,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019591_NEG603195907501116870_gz_arcsinh_vis_y.jpg
2680811870648815165,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158584_2680811870648815165_gz_arcsinh_vis_y.jpg
-525999705274965831,E,No Bar,Not Edge-On,./Galaxy_cutouts/102044824_NEG525999705274965831_gz_arcsinh_vis_y.jpg
-611588721469622756,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022477_NEG611588721469622756_gz_arcsinh_vis_y.jpg
-567568405476618217,E,No Bar,Not Edge-On,./Galaxy_cutouts/102021978_NEG567568405476618217_gz_arcsinh_vis_y.jpg
2644113642674538792,E,No Bar,Not Edge-On,./Galaxy_cutouts/102160055_2644113642674538792_gz_arcsinh_vis_y.jpg
2727444167663655340,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159489_2727444167663655340_gz_arcsinh_vis_y.jpg
2707929501654686347,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158892_2707929501654686347_gz_arcsinh_vis_y.jpg
-615886681464163188,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022975_NEG615886681464163188_gz_arcsinh_vis_y.jpg
-624477195461603222,E,No Bar,Not Edge-On,./Galaxy_cutouts/102023478_NEG624477195461603222_gz_arcsinh_vis_y.jpg
-640110209488423782,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020539_NEG640110209488423782_gz_arcsinh_vis_y.jpg
2658433239646011126,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158270_2658433239646011126_gz_arcsinh_vis_y.jpg
2712629993644455815,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158275_2712629993644455815_gz_arcsinh_vis_y.jpg
-636832260489587316,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020538_NEG636832260489587316_gz_arcsinh_vis_y.jpg
-518315725296858410,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042283_NEG518315725296858410_gz_arcsinh_vis_y.jpg
-522505734287527769,E,No Bar,Not Edge-On,./Galaxy_cutouts/102042914_NEG522505734287527769_gz_arcsinh_vis_y.jpg
2636045983664004903,E,No Bar,Not Edge-On,./Galaxy_cutouts/102159481_2636045983664004903_gz_arcsinh_vis_y.jpg
2739516641645873705,E,No Bar,Not Edge-On,./Galaxy_cutouts/102158277_2739516641645873705_gz_arcsinh_vis_y.jpg
-632760528491436500,E,No Bar,Edge-On,./Galaxy_cutouts/102020538_NEG632760528491436500_gz_arcsinh_vis_y.jpg
-620542227489853090,E,No Bar,Not Edge-On,./Galaxy_cutouts/102020536_NEG620542227489853090_gz_arcsinh_vis_y.jpg
-566141914505441457,E,No Bar,Not Edge-On,./Galaxy_cutouts/102019123_NEG566141914505441457_gz_arcsinh_vis_y.jpg
-653683457468371500,E,No Bar,Not Edge-On,./Galaxy_cutouts/102022483_NEG653683457468371500_gz_arcsinh_vis_y.jpg
