alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,flavanoids_dup,dihydrogena_monoxid
13.9,2.4615821399716316,2.12,16.0,101.0,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985.0,0,3.3997283338359385,-0.027766360940950804
14.1,2.9538515222859396,2.4,18.8,103.0,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060.0,0,2.9106226679144247,0.023576926127256953
13.94,2.5284688983286534,2.27,17.4,108.0,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260.0,0,3.540249597180056,0.05063579089099143
13.05,2.5284688983286534,2.04,12.4,92.0,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150.0,0,3.279603959510821,0.007771466383423302
13.83,2.422302414124652,2.6,17.2,94.0,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265.0,0,2.998920430866167,0.017587820419960175
13.82,2.5557297558658214,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190.0,0,3.7532925138995683,0.002657767378893368
13.77,2.769776846246419,2.68,17.1,115.0,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375.0,0,2.7880325383689932,4.219654570709021e-06
13.74,2.448418630569727,2.25,16.4,118.0,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060.0,0,2.8915436960932337,-0.03607790167714237
13.56,2.5284688983286534,2.46,20.5,116.0,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120.0,0,2.7784074554536424,0.0158247130836654
14.22,2.4881218534235794,2.3,16.3,118.0,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970.0,0,2.9662918269222573,-0.004864329920674474
13.29,2.875711920440626,2.68,16.8,102.0,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270.0,0,3.201090782774477,0.10465841544652975
13.72,2.152771393226141,2.5,16.7,108.0,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285.0,0,3.643576200090625,0.07866774512376212
12.37,1.6553648665804286,1.36,10.6,88.0,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520.0,1,0.5500778269028932,0.9192923276278251
12.33,1.8036498970585395,2.28,16.0,101.0,2.05,1.09,0.63,0.41,,1.25,1.67,680.0,1,1.0979863591681729,0.8618471395152616
12.64,2.0734679012304498,2.02,16.8,100.0,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450.0,1,1.3919110876290532,0.8443794264008291
13.67,1.9547089093209116,1.92,18.0,94.0,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630.0,1,1.7824453809709913,0.9595571476544433
12.37,1.8328976379959538,2.16,19.0,87.0,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420.0,1,3.125954909381268,0.913137461257357
12.17,2.175981642835943,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95,1.45,2.23,8546.186856921227,1,1.7428828527669333,0.9240071701695806
12.37,1.9132312482822518,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678.0,1,2.6647334766179713,0.8127707006512904
13.11,1.7186772594893842,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,1,3.1613489574367355,0.946371924077909
12.37,1.8726337164316438,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510.0,1,1.995895938221905,0.9227210169107182
13.34,1.6553648665804286,2.36,17.0,110.0,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750.0,1,1.2810212443898985,0.8444784657792761
12.21,1.8928236428320377,1.75,16.8,151.0,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718.0,1,1.2732270773525742,0.8764237596275026
12.29,2.370902720806073,2.21,20.4,103.0,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870.0,1,1.0367869816237947,0.913185860217826
,2.247124670001601,2.67,25.0,86.0,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410.0,1,2.8254930198697434,0.9026233399178122
,2.435325514098028,2.24,24.0,87.0,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472.0,1,1.8486785565866497,0.8853914407098222
12.99,2.448418630569727,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985.0,2,2.894749285422547,0.894825586596702
11.96,1.7940047334898974,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886.0,1,2.1281305631309966,0.8874011310896558
11.66,2.74023284150884,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428.0,1,1.5411118510621424,0.9076281256051234
13.03,1.62023909286347,1.71,16.0,86.0,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392.0,1,2.0314409437045198,0.9735745986496579
11.84,4.709575870407222,2.23,18.0,112.0,1.72,1.32,0.43,0.95,,0.96,2.52,500.0,0,1.3094222321779694,0.7716670779534351
12.33,1.7003448768046434,1.95,14.8,136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750.0,1,1.8546482130901698,0.8881574867745158
12.7,7.96508029371127,2.4,23.0,101.0,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463.0,1,2.5504365441068466,0.9088256210686224
12.0,1.6377078096493076,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278.0,1,2.291999015141454,0.914799699484355
12.72,2.639288526707599,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0,1,2.5252183510538178,0.8814042709339356
12.08,1.8328976379959538,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630.0,1,1.5595534128080317,0.8121639108760709
13.05,7.922486383221489,2.32,22.5,85.0,1.65,1.59,0.61,1.62,4.8,0.84,2.01,8546.186856921227,1,1.593581420499761,0.9163997741857055
11.84,1.6115747333907908,2.58,18.0,94.0,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520.0,1,2.2143949119692024,0.9863675107082093
12.67,1.6912521451793823,2.24,18.0,99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0,1,1.9671527262819206,0.8233069297541932
12.16,2.370902720806073,2.31,22.8,90.0,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495.0,1,1.706683162418742,0.9431914006849095
11.65,2.448418630569727,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562.0,1,1.6171292751372537,0.8835737388438554
11.64,3.017889182296932,2.46,21.6,84.0,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680.0,1,1.7192326560341014,0.8969337827085576
12.08,2.0403813552280554,2.3,23.6,70.0,2.2,1.59,0.42,1.38,,1.07,3.21,625.0,1,1.5662518739752471,0.8473550744648026
,2.6677441935238364,2.32,18.5,81.0,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480.0,1,1.4872195725052002,0.8832771913822062
,2.247124670001601,2.42,22.0,86.0,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450.0,1,1.2314896314719868,0.965002229734948
12.69,2.271352195812839,2.26,20.7,80.0,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495.0,1,1.4522127018522624,0.9291327620993853
12.29,4.560472668186194,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290.0,1,2.222497701699417,0.9866155802704972
11.62,2.906716601982443,2.28,18.0,98.0,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345.0,1,2.272688520790446,0.9588705944488847
12.47,2.259205956408875,2.2,19.0,162.0,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937.0,1,2.2655606185799,0.9219543339464789
11.81,3.1165581084737526,2.74,21.5,134.0,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625.0,1,0.9606174471751685,0.9871967263083896
12.29,2.12980871725223,1.98,16.0,85.0,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428.0,1,2.479711600288286,0.921949657936915
12.37,1.774868865408217,2.1,18.5,88.0,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660.0,1,3.756263120587974,0.941399408839853
12.29,5.472480042214012,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406.0,1,3.0067434000296953,0.8851714523232646
12.08,3.050426757552827,1.7,17.5,97.0,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710.0,1,2.2098890398561593,0.9033272907929603
12.6,2.051351121107825,1.9,18.5,88.0,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562.0,1,1.4182107366223264,0.8651288088349862
12.34,3.719811229546791,2.46,21.0,98.0,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438.0,1,2.1182787292316134,0.9494791967297427
11.82,2.5149477065816432,1.88,19.5,86.0,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415.0,1,1.6202318250930166,0.8410848188442568
12.51,2.5284688983286534,1.98,20.5,85.0,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672.0,2,1.877407741112669,0.9391175171208831
12.42,3.9247090661023205,2.27,22.0,90.0,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315.0,0,1.8453481183848146,0.890467447124742
12.25,2.5284688983286534,2.12,19.0,80.0,1.65,2.03,0.37,1.63,,1.0,3.17,510.0,0,2.013759734530842,0.958562354673366
,2.5557297558658214,2.28,22.5,84.0,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488.0,1,1.7517023358656936,0.937543449436563
12.22,1.997085780199878,1.94,19.0,92.0,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312.0,1,2.027772035923761,0.9910323078823401
11.61,2.062379864081826,2.7,20.0,94.0,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680.0,1,2.9171873960066352,0.9365387345569323
11.46,7.428782111555722,1.82,19.5,107.0,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562.0,1,2.6012952722315723,0.821397987217338
12.52,3.680133621317246,2.17,21.0,88.0,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325.0,1,2.273137386511245,0.89665234135509
11.76,4.2080414220703295,2.92,20.0,103.0,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607.0,2,2.026830924305553,0.8413996403702593
11.41,1.4870329736166545,2.5,21.0,88.0,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434.0,1,1.9893105650863907,0.8740860078816863
12.08,2.1070909741539334,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385.0,1,2.256544567920646,0.9755614216638361
11.03,2.247124670001601,2.2,21.5,85.0,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407.0,1,2.1602849424285933,0.9318766905448849
11.82,2.199442135313448,1.99,20.8,86.0,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495.0,1,1.5989255766402553,0.8650534785710627
,2.370902720806073,2.19,22.5,108.0,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345.0,1,2.12531824297361,0.8493141316779801
12.77,6.291138721633366,1.98,16.0,80.0,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372.0,1,1.2526025167441923,0.901639104643813
12.0,6.291138721633366,2.0,19.0,87.0,2.0,1.64,0.37,1.87,,0.93,3.05,564.0,1,1.6596323579138936,0.8391719925309437
11.45,3.621409340953699,2.42,20.0,96.0,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625.0,1,2.7800254851001687,0.866442986130171
11.56,3.0017507760337434,3.23,28.5,119.0,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465.0,1,5.056328172553154,0.9156004735775622
12.42,10.754616676301065,2.73,26.5,102.0,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365.0,1,2.110719694799775,0.9577656018053349
13.05,22.419241172104964,2.13,21.5,86.0,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380.0,1,2.635512032936756,0.930438073611222
11.87,10.08442301027437,2.39,21.0,82.0,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380.0,1,3.0725208095607712,0.785435524570095
12.07,3.184123145866185,2.17,21.0,85.0,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378.0,1,2.6335910156339897,0.915218336451513
,2.271352195812839,2.29,21.5,86.0,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352.0,1,3.1667506444689,0.9036016786616289
11.79,3.1333137569769374,2.78,28.5,92.0,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466.0,1,2.2219620669245987,0.9206945142686347
,2.396464767999575,2.3,24.5,88.0,2.22,2.45,0.4,1.9,,0.89,2.78,342.0,1,2.468610195892737,0.9808104840825604
12.04,10.030495743354061,2.38,22.0,80.0,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580.0,1,1.7576902323160102,0.7968380861597628
12.86,2.062379864081826,2.32,18.0,122.0,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630.0,2,1.2468708175104284,1.7704448287404448
12.88,4.968992772876796,2.4,20.0,104.0,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530.0,2,1.2191856799349279,1.8295453161396678
12.81,3.4507993440134648,2.4,24.0,98.0,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560.0,2,1.0769191924715624,1.720920280027303
,6.709237141249267,2.36,21.5,106.0,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600.0,2,1.2089112618519,1.8737974524026755
12.51,1.944255945477857,2.25,17.5,85.0,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650.0,2,0.5709107159824475,1.818417830635033
12.6,3.7398101666084864,2.2,18.5,94.0,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695.0,0,0.6355158607690852,1.8423291992921702
12.25,12.56394368223883,2.54,21.0,89.0,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720.0,2,0.44447041909962715,1.7714528169239103
12.53,19.190657891947104,2.64,25.0,96.0,1.79,0.6,0.63,1.1,,0.82,1.69,515.0,2,0.6034478188109146,1.8406881844983105
13.49,6.85468922092995,2.19,19.5,88.0,1.62,0.48,0.58,0.88,,0.81,1.82,580.0,2,0.5115457803179977,1.8534235777994519
,4.8897020310872605,2.61,24.0,101.0,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590.0,2,0.603196180254954,1.8116439010068586
12.93,4.51182809008703,2.7,21.0,96.0,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600.0,2,0.4976299415517854,1.8117200446349349
13.36,3.945809601789453,2.35,20.0,89.0,1.4,0.5,0.37,0.64,,0.7,2.47,8546.186856921227,2,0.5057099984389373,1.8135171619640864
13.52,5.472480042214012,2.72,23.5,97.0,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520.0,2,0.5460902236470224,1.756832736763031
,14.212978072508617,2.35,20.0,92.0,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550.0,2,0.8043826423365606,1.7926235659879823
12.25,8.007903203169688,2.2,18.5,112.0,1.38,0.78,0.29,1.14,,0.65,2.0,855.0,0,0.7717908353314352,1.7923738733773822
13.16,6.781573232870396,2.15,21.0,102.0,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830.0,2,0.5721005217235904,1.8191696932176749
13.88,14.915677912088984,2.23,20.0,80.0,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415.0,2,0.34856534184628635,1.8499912123455147
12.87,11.84433703425289,2.48,21.5,86.0,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625.0,2,0.6806800642134403,1.7470731959010797
13.32,5.681784838766087,2.38,21.5,92.0,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650.0,1,0.7636605061802659,1.7937495484840211
13.08,8.094240950308814,2.36,21.5,113.0,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550.0,2,1.3655385694626336,1.8740727773829486
13.5,5.3277139940972456,2.62,24.0,123.0,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500.0,2,1.5426680460269528,1.7628205885593717
12.79,4.185538580534574,2.48,22.0,112.0,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480.0,2,1.3929808740689251,1.758887499135484
13.11,2.769776846246419,2.75,25.5,116.0,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425.0,2,1.314433969505408,1.8101153095915596
13.23,5.867548985474118,2.28,18.5,98.0,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675.0,2,0.8264137134937053,1.8422192595242661
12.58,1.997085780199878,2.1,20.0,103.0,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640.0,2,0.5723450003258987,1.800571302778033
13.17,16.16489350337329,2.32,22.0,93.0,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725.0,2,0.6591955264794914,1.8664480295218495
13.84,9.107655116624846,2.38,19.5,89.0,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480.0,2,0.807884356115607,1.8428396991283265
12.45,5.076717439260944,2.64,27.0,97.0,1.9,0.58,0.63,1.14,,0.67,1.73,8546.186856921227,1,0.562125882927933,1.842091003344503
14.34,2.4615821399716316,2.7,25.0,98.0,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660.0,2,1.3228518511235854,1.8277058250662046
13.48,2.448418630569727,2.64,22.5,89.0,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620.0,2,1.0921169049175905,1.9163826550173042
12.36,7.796066432367056,2.38,21.0,88.0,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520.0,2,0.9198976795788631,1.7897419155566978
13.69,5.743043384263256,2.54,20.0,107.0,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680.0,2,0.556734872826089,1.6998238853966743
12.85,5.773919887423464,2.58,22.0,106.0,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570.0,2,0.6067437853981699,1.8802127180758572
12.96,6.358967057014661,2.35,18.5,106.0,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675.0,2,0.7281175096235404,1.7771150284521589
13.78,4.392474612806942,2.3,22.0,90.0,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615.0,2,0.6818096304198052,1.8053940222171516
13.73,10.358439608829151,2.26,22.5,88.0,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520.0,2,0.4828640771256784,1.8654775342430263
13.45,7.271148151387085,2.6,23.0,111.0,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695.0,2,0.8790433558221145,1.7198870229470538
,6.091963901049972,2.3,19.5,88.0,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685.0,2,0.6590267440222392,1.7374176392946932
,3.988351613476556,2.69,24.5,105.0,1.55,0.84,0.39,1.54,,0.74,1.8,750.0,2,0.8231546424209756,1.7199361031440574
13.4,11.780998484879307,2.86,25.0,112.0,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630.0,2,0.9356515597836754,1.760293185498729
12.2,5.076717439260944,2.32,19.0,96.0,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510.0,2,0.4724569976305006,1.8219818303008497
12.77,3.6020435618745834,2.28,19.5,86.0,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470.0,2,0.503325157987765,1.8262093921406386
14.16,3.841429273626365,2.48,20.0,91.0,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660.0,2,0.718297144181228,1.8138137089664277
13.71,20.686692447851886,2.45,20.5,95.0,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740.0,2,0.5835024222828521,1.7293617058053816
13.4,8.137758270231297,2.48,23.0,102.0,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750.0,2,0.7506119306482594,1.6844948281683678
,9.923504808628213,2.26,20.0,120.0,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835.0,2,0.6803276631299003,1.8027176792695192
13.17,4.009794312574905,2.37,20.0,120.0,1.65,0.68,0.53,1.46,,0.6,1.62,840.0,2,0.6734540176770036,1.7764111983180833
14.13,9.01050772141918,2.74,24.5,96.0,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560.0,2,0.7800322672554842,1.8229692885858306
